budget,seed_id,seed,pair_id,expected_verdict,safety_category,mutation_operator,verdict,runtime_ms,counterexample
32,1,26172077,assetregistry_unsafe_behavior_01_remove_access_modifier,Unsafe,behavior,remove_access_modifier,Unsafe,0.3875,"{""active"": false, ""amount"": 481, ""balance"": 801457, ""call_ok"": true, ""limit"": 4282, ""owner_zero"": false, ""sender_owner"": false, ""total"": 189498}"
32,1,26172078,assetregistry_unsafe_behavior_02_change_call_recipient,Unsafe,behavior,change_call_recipient,Unsafe,0.3599,"{""active"": false, ""amount"": 57857, ""balance"": 767911, ""call_ok"": true, ""limit"": 59739, ""owner_zero"": true, ""sender_owner"": true, ""total"": 986291}"
32,1,26172079,assetregistry_unsafe_behavior_03_external_call_order_change,Unsafe,behavior,external_call_order_change,Unsafe,0.3567,"{""active"": true, ""amount"": 28723, ""balance"": 569269, ""call_ok"": true, ""limit"": 1297, ""owner_zero"": false, ""sender_owner"": true, ""total"": 825052}"
32,1,26172080,claimregistry_safe_01_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5429,
32,1,26172081,claimregistry_safe_02_valid_domain_guard,Safe,safe,valid_domain_guard,Safe,0.5398,
32,1,26172082,claimregistry_safe_03_consume_storage_gap,Safe,safe,consume_storage_gap,Safe,0.0,
32,1,26172083,claimregistry_unsafe_behavior_01_success_to_revert,Unsafe,behavior,success_to_revert,Unsafe,0.4036,"{""active"": true, ""amount"": 25011, ""balance"": 131985, ""call_ok"": true, ""limit"": 41776, ""owner_zero"": false, ""sender_owner"": true, ""total"": 13465}"
32,1,26172084,claimregistry_unsafe_behavior_02_conditional_state_update,Unsafe,behavior,conditional_state_update,Unknown,0.3066,
32,1,26172085,claimregistry_unsafe_behavior_03_conditional_event,Unsafe,behavior,conditional_event,Unknown,0.318,
32,1,26172086,rolemanager_safe_01_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,1,26172087,rolemanager_safe_02_rename_local_variable,Safe,safe,rename_local_variable,Safe,0.5651,
32,1,26172088,rolemanager_safe_03_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.5207,
32,1,26172089,rolemanager_unsafe_behavior_01_revert_data_change,Unsafe,behavior,revert_data_change,Safe,0.6507,
32,1,26172090,rolemanager_unsafe_behavior_02_unsupported_hash_return,Unsafe,behavior,unsupported_hash_return,Unknown,0.3855,
32,1,26172091,rolemanager_unsafe_behavior_03_arithmetic_operator_change,Unsafe,behavior,arithmetic_operator_change,Unsafe,0.4355,"{""active"": true, ""amount"": 47312, ""balance"": 119748, ""call_ok"": true, ""limit"": 47345, ""owner_zero"": true, ""sender_owner"": true, ""total"": 88924}"
32,1,26172092,permissionbook_safe_01_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,1,26172093,permissionbook_safe_02_rename_local_variable,Safe,safe,rename_local_variable,Safe,0.7062,
32,1,26172094,permissionbook_safe_03_equivalent_expression_refactor,Safe,safe,equivalent_expression_refactor,Safe,0.5383,
32,1,26172095,permissionbook_unsafe_behavior_01_comparison_operator_change,Unsafe,behavior,comparison_operator_change,Safe,0.4939,
